superevent_id	classification	distance	area(90)	vol(90)	HasNS	HasRemnant	BNS	NSBH	BBH	Terrestrial
S230807f	BBH	6640.775347332986	6087.861010091613	50064255528.84913	0.0	0.0	7.709956723248038e-16	5.975891496337405e-14	0.9531444746139138	0.046855525386025665
S230811n	BBH	2538.3398300839976	955.2448422292696	1070347212.2136039	0.0	0.0	0.0	0.0	0.9999781900061152	2.1809993884791545e-05
S230814ah	BBH	401.55131873080967	24222.225139549457	252081162.15132296	0.0	0.0	0.0	0.0	0.9999999999999799	2.0095036745715333e-14
S230814r	BBH	5416.089244578082	3753.1687902433146	21294518722.3447	0.0	0.0	0.0	0.0	0.9316934799569384	0.06830652004306159
S230819ax	BBH	4819.41891592281	4126.201748993819	17235701592.421055	0.0	0.0	4.811589372686276e-21	4.084920565817196e-19	0.9927880126144608	0.007211987385539187
S230820bq	BBH	4712.2231299020605	1974.8284074324417	8931310450.943647	0.0	0.0	0.0	0.0	0.9576683641601308	0.04233163583986921
S230822bm	BBH	6721.8316358252705	4472.162121850249	36755852509.955986	0.0	0.0	4.016238317276986e-16	3.116174861980671e-14	0.9811112910282248	0.01888870897174355
S230824r	BBH	4683.968664508097	2853.698941676446	11063228786.862362	0.0	0.0	0.0	0.0	0.9999708725139423	2.912748605765625e-05
S230825k	BBH	7028.6008256952355	2935.548026206011	23916324527.7366	0.0	0.0	4.404595818027344e-18	3.194325954971056e-16	0.9978452593333421	0.002154740666657551
S230831e	BBH	6629.014785297658	3325.6167808852906	24938787198.001526	0.0	0.0	6.817790815163856e-18	4.929964808279336e-16	0.9848856600312828	0.015114339968716806
S230904n	BBH	1190.470353588989	1857.6517936443722	425528279.4799758	0.0	0.0	3.4536281733174067e-18	0.0009143175337625946	0.9112745856421383	0.08781109682409916
S230911ae	BBH	1726.6943610272838	24221.13941277742	11404388218.227911	0.0	0.0	3.5171580962739975e-26	2.6033011266448696e-24	0.9999964149220332	3.585077966827832e-06
S230914ak	BBH	2816.4122690432564	1863.1427910911875	2576914310.428479	0.0	0.0	0.0	0.0	0.991666075628881	0.008333924371119017
S230919bj	BBH	1677.3173299410469	1026.639889743035	467593893.8888304	0.0	0.0	0.0	0.0	0.9996521656245423	0.0003478343754577118
S230920al	BBH	3137.9743860137805	2125.347022555532	3953688082.244901	0.0	0.0	0.0	0.0	0.9999894194286553	1.058057134473156e-05
S230922g	BBH	1861.6283546310272	509.9688750351693	323070525.06294966	0.0	0.0	5.937837279539936e-34	4.951815854249782e-32	0.999999999999983	1.6986412276764895e-14
S230922q	BBH	1103.5278630192377	3974.615225813176	674786053.012851	0.0	0.0	0.0	0.0	0.9999775936280579	2.2406371942063075e-05
